player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Kosta Koufos,Sac,PF,"","",29.0,0.0,0.0,.000,0.0,10.0,2.0,2.5,2.0,11.0
Trey Lyles,Den,PF,"","",15.5,0.0,0.0,.000,1.0,3.0,0.5,0.0,0.0,7.0
Brandon Jennings,Mil,PG,"","",16.3,1.3,1.3,1.000,1.3,2.0,2.7,0.7,0.3,8.0
Mason Plumlee,Den,PF,"","",16.7,0.3,1.7,.200,0.0,2.7,2.0,0.7,2.0,5.0
Kyle Korver*,Cle,SG,O,FERA,--,--,--,--,--,--,--,--,--,--
Tyson Chandler*,Pho,C,O,"",--,--,--,--,--,--,--,--,--,--
Jarell Martin,Mem,PF,"","",31.3,2.0,2.5,.800,0.3,6.8,0.8,0.3,1.0,10.3
Jamal Crawford,Min,SG,"",JCOH,27.3,2.5,2.8,.909,2.0,1.8,2.0,0.3,0.0,14.0
Delon Wright,Tor,PG,"","",20.8,1.8,2.5,.700,0.8,2.5,3.5,0.5,1.0,7.0
Derrick Rose*,Min,PG,O,"",7.0,1.0,1.0,1.000,0.0,0.0,1.0,0.0,0.0,9.0
Willy Hernangomez,Cha,C,"","",16.3,2.0,2.8,.727,0.0,7.8,1.0,0.5,1.0,7.5
JR Smith,Cle,SG,"","",24.3,0.7,0.7,1.000,1.7,3.7,1.0,0.3,0.3,8.3
Jeff Green,Cle,SF,"","",25.0,2.5,3.0,.833,1.5,2.0,0.5,0.0,0.5,10.0
Jakob Poeltl,Tor,PF,"","",17.5,0.5,1.5,.333,0.0,5.5,1.3,0.5,1.0,6.5
PJ Tucker,Hou,SG,"",BCOH,29.0,0.0,0.0,.000,2.0,4.0,0.5,0.3,0.5,7.0
David Nwaba,Chi,SG,"","",26.3,3.0,3.7,.818,0.3,5.0,1.7,1.0,0.3,11.3
Bam Adebayo,Mia,PF,DTD,"",18.3,1.3,1.3,1.000,0.0,4.7,0.3,0.0,0.3,6.7
Evan Turner,Por,SG,"","",18.7,0.7,0.7,1.000,0.0,1.3,1.7,0.0,0.3,6.0
Dion Waiters*,Mia,SG,O,"",--,--,--,--,--,--,--,--,--,--
T.J. McConnell,Phi,PG,"","",17.0,0.5,1.3,.400,0.0,3.5,4.3,0.5,0.3,3.5
