player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Chuck Hayes,Hou,PF,"","",--,--,--,--,--,--,--,--,--,--
Lou Amundson,NY,PF,"","",--,--,--,--,--,--,--,--,--,--
Tyler Hansbrough,Cha,PF,"","",--,--,--,--,--,--,--,--,--,--
DeAndre Daniels,FA,SF,"","",--,--,--,--,--,--,--,--,--,--
DeJuan Blair,Pho,C,"","",--,--,--,--,--,--,--,--,--,--
Lavoy Allen,Ind,PF,"","",--,--,--,--,--,--,--,--,--,--
Jordan Farmar,Sac,PG,"","",--,--,--,--,--,--,--,--,--,--
Louis Labeyrie,FA,PF,"","",--,--,--,--,--,--,--,--,--,--
Drew Gordon,Phi,PF,"","",--,--,--,--,--,--,--,--,--,--
Randy Foye,Bkn,SG,"","",--,--,--,--,--,--,--,--,--,--
Jordan Hill,Min,PF,"","",--,--,--,--,--,--,--,--,--,--
Sergio Rodriguez,Phi,PG,"","",--,--,--,--,--,--,--,--,--,--
C.J. Watson,Orl,PG,"","",--,--,--,--,--,--,--,--,--,--
Mitchell Watt,FA,PF,"","",--,--,--,--,--,--,--,--,--,--
John Lucas III,Min,PG,"","",--,--,--,--,--,--,--,--,--,--
James Anderson,Sac,SG,"","",--,--,--,--,--,--,--,--,--,--
Damien Inglis,NY,SF,"","",--,--,--,--,--,--,--,--,--,--
Will Cherry,Cle,SG,"","",--,--,--,--,--,--,--,--,--,--
Cady Lalanne,SA,C,"","",--,--,--,--,--,--,--,--,--,--
J.P. Tokoto,NY,SG,"","",--,--,--,--,--,--,--,--,--,--
Anthony Morrow,Por,SG,"","",--,--,--,--,--,--,--,--,--,--
Marcus Thornton,Bkn,SG,"","",--,--,--,--,--,--,--,--,--,--
Tiago Splitter,Phi,PF,"","",--,--,--,--,--,--,--,--,--,--
Robert Sacre,Nor,C,"","",--,--,--,--,--,--,--,--,--,--
Jerrelle Benimon,Utah,PF,"","",--,--,--,--,--,--,--,--,--,--
Branden Dawson,Orl,SF,"","",--,--,--,--,--,--,--,--,--,--
Jarrod Uthoff,Ind,PF,"","",--,--,--,--,--,--,--,--,--,--
Alonzo Gee,Nor,SF,"","",--,--,--,--,--,--,--,--,--,--
Gary Neal,Atl,PG,"","",--,--,--,--,--,--,--,--,--,--
Andrew Goudelock,Hou,PG,"","",--,--,--,--,--,--,--,--,--,--
Donatas Motiejunas,Nor,PF,"","",--,--,--,--,--,--,--,--,--,--
Justin Hamilton,Bkn,C,"","",--,--,--,--,--,--,--,--,--,--
Aaron White,Wsh,SF,"","",--,--,--,--,--,--,--,--,--,--
Coty Clarke,Bos,PF,"","",--,--,--,--,--,--,--,--,--,--
Tony Wroten,Mem,PG,"","",--,--,--,--,--,--,--,--,--,--
Chasson Randle,NY,SG,"","",--,--,--,--,--,--,--,--,--,--
Olivier Hanlan,SA,PG,"","",--,--,--,--,--,--,--,--,--,--
J.J. O'Brien,Mil,SF,"","",--,--,--,--,--,--,--,--,--,--
Nicolas Laprovittola,SA,SG,"","",--,--,--,--,--,--,--,--,--,--
Donald Sloan,Wsh,PG,"","",--,--,--,--,--,--,--,--,--,--
Andrew Nicholson,Bkn,PF,"","",--,--,--,--,--,--,--,--,--,--
Axel Toupane,Nor,SG,"","",--,--,--,--,--,--,--,--,--,--
Erick Green,Den,PG,"","",--,--,--,--,--,--,--,--,--,--
Pierre Deshawn Jackson,Dal,PG,"","",--,--,--,--,--,--,--,--,--,--
Drew Gooden,Wsh,PF,"","",--,--,--,--,--,--,--,--,--,--
Patrick Christopher,Utah,SG,"","",--,--,--,--,--,--,--,--,--,--
Jorge Gutierrez,Bkn,PG,"","",--,--,--,--,--,--,--,--,--,--
Mitch McGary,OKC,PF,"","",--,--,--,--,--,--,--,--,--,--
Ronnie Price,Pho,PG,"","",--,--,--,--,--,--,--,--,--,--
Jason Thompson,Tor,PF,"","",--,--,--,--,--,--,--,--,--,--
Ryan Hollins,Wsh,C,"","",--,--,--,--,--,--,--,--,--,--
Norris Cole,OKC,PG,"","",--,--,--,--,--,--,--,--,--,--
Carl Landry,Phi,PF,"","",--,--,--,--,--,--,--,--,--,--
Elliot Williams,GS,SG,"","",--,--,--,--,--,--,--,--,--,--
Shayne Whittington,Ind,C,"","",--,--,--,--,--,--,--,--,--,--
Shawn Long,Hou,PF,"","",--,--,--,--,--,--,--,--,--,--
Toney Douglas,Cle,PG,"","",--,--,--,--,--,--,--,--,--,--
Greg Smith,Min,C,"","",--,--,--,--,--,--,--,--,--,--
Alan Anderson,LAC,SF,"","",--,--,--,--,--,--,--,--,--,--
Jabari Brown,Mil,SG,"","",--,--,--,--,--,--,--,--,--,--
Brandon Rush,Por,SG,"","",--,--,--,--,--,--,--,--,--,--
Reggie Williams,Nor,SF,"","",--,--,--,--,--,--,--,--,--,--
Elijah Millsap,Pho,SG,"","",--,--,--,--,--,--,--,--,--,--
AJ Hammons,Mia,C,"","",--,--,--,--,--,--,--,--,--,--
Kevin Seraphin,Ind,C,"","",--,--,--,--,--,--,--,--,--,--
Greivis Vasquez,Bkn,PG,"","",--,--,--,--,--,--,--,--,--,--
Marcus Thornton,Cle,SG,"","",--,--,--,--,--,--,--,--,--,--
Duje Dukan,Sac,PF,"","",--,--,--,--,--,--,--,--,--,--
Mike Tobey,Cha,C,"","",--,--,--,--,--,--,--,--,--,--
Kyle Wiltjer,Tor,PF,"","",--,--,--,--,--,--,--,--,--,--
Thomas Robinson,LAL,PF,"","",--,--,--,--,--,--,--,--,--,--
Hollis Thompson,Phi,SF,"","",--,--,--,--,--,--,--,--,--,--
Ben Bentil,Dal,PF,"","",--,--,--,--,--,--,--,--,--,--
JJ Hickson,Wsh,PF,"","",--,--,--,--,--,--,--,--,--,--
Tibor Pleiss,Phi,C,"","",--,--,--,--,--,--,--,--,--,--
Maurice Ndour,NY,SF,"","",--,--,--,--,--,--,--,--,--,--
Michael Cobbins,OKC,PF,"","",--,--,--,--,--,--,--,--,--,--
Justin Harper,Phi,SF,"","",--,--,--,--,--,--,--,--,--,--
Kendall Marshall,Mil,PG,"","",--,--,--,--,--,--,--,--,--,--
Luka Mitrovic,Phi,SF,"","",--,--,--,--,--,--,--,--,--,--
Alex Stepheson,Mem,PF,"","",--,--,--,--,--,--,--,--,--,--
Julian Washburn,SA,PF,"","",--,--,--,--,--,--,--,--,--,--
Manny Harris,Dal,SG,"","",--,--,--,--,--,--,--,--,--,--
Isaia Cordinier,Atl,SG,"","",--,--,--,--,--,--,--,--,--,--
Jordan Hamilton,Nor,SG,"","",--,--,--,--,--,--,--,--,--,--
Jared Cunningham,Mil,SG,"","",--,--,--,--,--,--,--,--,--,--
Marcus Eriksson,Atl,SG,"","",--,--,--,--,--,--,--,--,--,--
Jonathan Gibson,Dal,SG,"","",--,--,--,--,--,--,--,--,--,--
Damien Wilkins,Ind,SG,"","",8.0,0.2,0.2,.750,0.2,0.8,0.5,0.1,0.1,1.7
Jeremy Evans,Atl,SF,"","",--,--,--,--,--,--,--,--,--,--
Julyan Stone,Cha,PG,"","",4.4,0.1,0.1,.500,0.1,1.2,0.8,0.1,0.1,0.4
John Jenkins,Atl,SG,"","",--,--,--,--,--,--,--,--,--,--
Orlando Johnson,Mil,SG,"","",--,--,--,--,--,--,--,--,--,--
Nate Wolters,Utah,PG,"","",3.8,0.0,0.0,.000,0.0,0.4,0.2,0.0,0.0,0.4
Arinze Onuaku,Orl,PF,"","",--,--,--,--,--,--,--,--,--,--
Vander Blue,LAL,SG,"","",9.0,0.2,0.4,.500,0.0,0.2,0.6,0.2,0.0,0.6
Trey McKinney-Jones,Ind,SG,"","",1.0,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0
Scotty Hopson,Dal,SG,"","",8.0,1.0,2.0,.500,0.0,0.0,1.0,0.0,0.0,1.0
Devyn Marble,LAC,SG,"","",--,--,--,--,--,--,--,--,--,--
P.J. Hairston,Hou,SG,"","",--,--,--,--,--,--,--,--,--,--
Alex Kirk,Cle,C,"","",--,--,--,--,--,--,--,--,--,--
John Holland,Cle,SG,"","",6.8,0.2,0.3,.667,0.4,0.9,0.2,0.3,0.1,1.7
David Wear,Sac,PF,"","",--,--,--,--,--,--,--,--,--,--
Tyler Harvey,Orl,SG,"","",--,--,--,--,--,--,--,--,--,--
Juan Vaulet,Bkn,SF,"","",--,--,--,--,--,--,--,--,--,--
Nikola Radicevic,Den,PG,"","",--,--,--,--,--,--,--,--,--,--
Malcolm Miller,Tor,PF,"","",8.4,0.3,0.3,1.000,0.5,1.0,0.2,0.1,0.1,2.5
